Procedure_Description,CPT_Code,Cash_Price,Gross_Price
KIT ACCUCATH L1.25IN 20GA,Z7610,$176.00 ,$209.00 
PWD SURGICEL GELATIN 3GM,Z7610,"$1,372.35 ","$1,629.67 "
CATH IAB SENSATION PLUS 7.5 FR,Z7610,"$4,506.62 ","$5,351.62 "
CATH IAB SENSATION PLUS 8 FR,Z7610,"$4,506.62 ","$5,351.62 "
ELECT RLER BL STRL 5MM X 24FR,Z7610,$744.45 ,$884.03 
ELECT RLR 24FR 5MM,Z7610,"$1,023.49 ","$1,215.39 "
INST SHIM INTRADISCAL,Z7610,"$1,862.78 ","$2,212.06 "
ELECT DISP 200MM,Z7610,"$2,716.56 ","$3,225.92 "
KIT CATH INFS L 2.25IN 20GA,Z7610,$336.00 ,$399.00 
MATRIX HEMOSTATIC FLOSEAL 10ML,Z7610,"$1,588.80 ","$1,886.70 "
MATRIX HEMOSTATIC FLOSEAL 5ML,Z7610,$868.42 ,"$1,031.24 "
KIT SURGIFLOW HMSTT W/THROMBIN,Z7610,"$1,525.82 ","$1,811.92 "
PROBE FIBER CYBERWAND,Z7610,"$4,296.00 ","$5,101.50 "
PROBE DUAL 15MM X2,Z7610,"$17,703.80 ","$21,023.26 "
KIT AEROGEN SOLO CONV,Z7610,$379.28 ,$450.40 
BUR BARREL FRML 6 FLTS 4MM,Z7610,$166.08 ,$197.22 
KIT DX FIBERTAK DISP,Z7610,"$1,760.00 ","$2,090.00 "
KIT AEROGEN ULTRA STARTER,Z7610,$402.96 ,$478.52 
SET TUBG ASM TRI LMN,Z7610,$600.01 ,$712.51 
MARKR SPOT EX ENDO TATTOO,Z7610,$304.00 ,$361.00 
CAN OPTIFLOW JUNIOR 2 NASAL SM,Z7610,$357.20 ,$424.18 
CAN OPTIFLOW JUNIOR 2 NASAL LG,Z7610,$357.20 ,$424.18 
FORCEP W/O SPIKE JUMBO 230CM,Z7610,$100.80 ,$119.70 
FORCEP W/O SPIKE JUMBO 230CM,Z7610,$101.04 ,$119.99 
FORCEP W/SPIKE JUMBO 230CM,Z7610,$100.80 ,$119.70 
OBTR BLADELESS XI 8MM LONG,Z7610,$240.00 ,$285.00 
DRN CHANNEL 15FR,Z7610,$97.04 ,$115.24 
SUC MALABLE STD TIP 9FR,Z7610,"$1,951.87 ","$2,317.85 "
DVC ESOPHYX Z PLUS 8.6-11.4MM,Z7610,"$17,700.00 ","$21,018.75 "
PROBE G RFID  ILLUMINATING,Z7610,"$7,200.00 ","$8,550.00 "
FORCEP RADIAL JAW W/NDL 3,Z7610,$83.60 ,$99.28 
CATH BEACON TORCON NB TIP 5CM,Z7610,$200.00 ,$237.50 
TUBE FEEDING 16FR JEJUNAL,Z7610,$863.62 ,"$1,025.54 "
TIP SPRAY AIRLESS LAP 35CM,Z7610,$600.01 ,$712.51 
SYS VACUUM STAB MALLEABLE,Z7610,"$6,701.76 ","$7,958.34 "
CATH MMS 16-CHANNEL 12FR 5CM,Z7610,"$1,158.40 ","$1,375.60 "
INST LIGASURE EXACT DISSECTOR,Z7610,"$2,940.01 ","$3,491.26 "
PROBE G RFID,Z7610,"$1,344.00 ","$1,596.00 "
SYS DLVRY ENVPRO 16FR,Z7610,"$8,440.00 ","$10,022.50 "
SYS DLVRY ENVPRO 14FR,Z7610,"$8,440.00 ","$10,022.50 "
SYS LOADING ENVEO FOR 23/26/29,Z7610,"$2,184.00 ","$2,593.50 "
SYS LOADING ENVEO 23MM,Z7610,"$2,184.00 ","$2,593.50 "
SYS LOADING ENVPRO 26/29/34MM,Z7610,"$2,184.00 ","$2,593.50 "
SYS KYPHOPAK 10/2  TRAY CDF,Z7610,"$18,100.01 ","$21,493.76 "
WRAP SMARTVEST MED SNGL PT USE,Z7610,$507.84 ,$603.06 
KNIFE J UPPER LEN,Z7610,"$2,940.01 ","$3,491.26 "
KIT ACCUCATH L1.25IN 18GA,Z7610,$176.00 ,$209.00 
KIT ACCUCATH L1.25IN 22GA,Z7610,$176.00 ,$209.00 
HOOD ST SHRT 11.8X7.0X8.0MM,Z7610,$392.00 ,$465.50 
DVC NDL BIOP FNB FLEX 19GA,Z7610,"$3,120.00 ","$3,705.00 "
CBL EXT OR,Z7610,$960.00 ,"$1,140.00 "
CHARGING SYS VERCISE DBS,Z7610,"$7,320.00 ","$8,692.50 "
KIT CONTACT EXT 8 55CM,Z7610,"$2,800.00 ","$3,325.00 "
HEMOSTAT ENDO HEMOSPRAY HEMO10,Z7610,"$7,032.00 ","$8,350.50 "
HEMOSTAT ENDO HEMOSPRAY HEMO7,Z7610,"$7,032.00 ","$8,350.50 "
PROBE COAG ABCFLEX 2.3MMX270CM,Z7610,"$1,600.00 ","$1,900.00 "
TUBE FDING GASTRIC 22FR 3.5CM,Z7610,"$2,080.01 ","$2,470.01 "
KNIFE J LOWER LEN,Z7610,"$2,940.01 ","$3,491.26 "
BLE SPECTRUM LOPRO S3,Z7610,$313.60 ,$372.40 
BLE SPECTRUM LOPRO S4,Z7610,$313.60 ,$372.40 
SCISSOR ENDO 2.6MMX235CM,Z7610,"$1,920.00 ","$2,280.00 "
ROD RELINE MASS 5.5X40MM,Z7610,"$1,760.00 ","$2,090.00 "
BIT DRILL CANLT 5.5MM,Z7610,"$2,080.01 ","$2,470.01 "
SEAL VESSEL EXTD DAVINCI XI,Z7610,"$3,000.00 ","$3,562.50 "
CATH ENDOROTOR 3.2X1250MM,Z7610,"$8,280.01 ","$9,832.51 "
CATH OXIMETRY PACEPORT NON HEP,Z7610,"$1,312.00 ","$1,558.00 "
TUBE BAL REPLNT 20FRX10CM,Z7610,$420.00 ,$498.75 
HNDL ROTATION 16MMX235CM,Z7610,$960.00 ,"$1,140.00 "
HNDL ROTATION 11MMX235CM,Z7610,"$2,660.00 ","$3,158.75 "
KWIRE STD TIP 2.0X152MM,Z7610,$248.00 ,$294.50 
CATH RBT 5FR 90CM,Z7610,$512.00 ,$608.00 
KNIFE IT NANO L 165CM 3.5MM,Z7610,"$2,905.00 ","$3,449.69 "
KIT PREP SM VCF W/ MALLET,Z7610,"$1,280.00 ","$1,520.00 "
SUT UNIDIR 2-0 PDS CT-2 6IN,Z7610,$244.88 ,$290.80 
KIT SUPRAPUBIC CATH INTRD 18FR,Z7610,$844.80 ,"$1,003.20 "
DRILL BIT 2.4MM,Z7610,"$1,365.12 ","$1,621.08 "
DVC TISS REMV MYOSURE LITE,Z7610,"$2,919.00 ","$3,466.31 "
CATH MMS 16-CHANNEL 14FR 200CM,Z7610,"$1,230.08 ","$1,460.72 "
CNSTR PENUMBRA ENGINE,Z7610,"$2,080.01 ","$2,470.01 "
KIT DRSG CHNG BSI MED,Z7610,$172.00 ,$204.25 
SYS NASAL TUBE BRIDLEPRO 8-10F,Z7610,$605.44 ,$718.96 
FORCEP FORCE BPLR 8MM,Z7610,"$1,984.00 ","$2,356.00 "
CUTR FRML PLUS 5MM BLU/BLU,Z7610,$200.40 ,$237.98 
BLE AGGSIVE 3.5 REPROC,Z7610,$200.40 ,$237.98 
CUF TOURNIQUET 18 2PORT REPROC,Z7610,$82.24 ,$97.66 
BLD 4.0MM AGGSIVE PLS   REPROC,Z7610,$200.40 ,$237.98 
CTG STPLR RNFRC XTHIC 45MM BLK,Z7610,"$2,080.01 ","$2,470.01 "
TUBE BAL REPLNT 18FRX10CM,Z7610,$420.00 ,$498.75 
LOOP BPLR CUTNG 24FR,Z7610,"$2,080.01 ","$2,470.01 "
CANN OPEN FENSTD,Z7610,"$4,680.00 ","$5,557.50 "
FORCEP WIRE-GUIDED 230CMX2.1MM,Z7610,$832.00 ,$988.00 
TUBE BAL REPLNT 14FRX10CM,Z7610,$420.00 ,$498.75 
PROBE STIMLTR STD B TIP 100MM,Z7610,$392.00 ,$465.50 
ELECT STRIP/GRID 1X4 1.5M,Z7610,"$2,940.01 ","$3,491.26 "
BSKT RTRVL SPYGLASS,Z7610,"$3,216.00 ","$3,819.00 "
SNARE RTRVL SPYGLASS,Z7610,"$3,216.00 ","$3,819.00 "
STAPLER SUREFORM 60 SPU,Z7610,"$2,940.01 ","$3,491.26 "
RELOAD SUREFORM 60 3.5 BLU,Z7610,"$1,472.00 ","$1,748.00 "
RELOAD SUREFORM 60 4.6 BLK,Z7610,"$1,472.00 ","$1,748.00 "
RELOAD SUREFORM 60 2.5 WHT,Z7610,"$1,472.00 ","$1,748.00 "
RELOAD SUREFORM 60 4.3 GRN,Z7610,"$1,472.00 ","$1,748.00 "
DVC CLARIFIX W/CANSTR,Z7610,"$4,320.00 ","$5,130.00 "
ASCOPE 4 BRONCHO SLIM,Z7610,"$1,664.00 ","$1,976.00 "
ASCOPE 4 BRONCHO REG,Z7610,"$1,664.00 ","$1,976.00 "
TRCR MTL FALLER,Z7610,$600.01 ,$712.51 
ASCOPE 4 BRONCHO LG,Z7610,"$1,913.60 ","$2,272.40 "
KIT TUNNELING TOOL,Z7610,"$2,800.00 ","$3,325.00 "
SYS ACAPELLA DH MOUTHPIECE GRN,Z7610,$315.84 ,$375.06 
SYS ACAPELLA DH W/MASK GRN,Z7610,$315.84 ,$375.06 
STYLET DISP PRE-CALIBRATED,Z7610,"$2,506.00 ","$2,975.88 "
KIT CATH DLVRY B-RAIL 3.5FR,Z7610,"$14,120.00 ","$16,767.50 "
CIRC IPV DISP PHASITRON,Z7610,$600.01 ,$712.51 
NDL PULMO ARCPOINT 21G,Z7610,"$1,253.12 ","$1,488.08 "
CATH SPYSCOPE DS II DLVRY,Z7610,"$14,652.00 ","$17,399.25 "
CNSTR FOR INDIGO SYS,Z7610,"$2,080.01 ","$2,470.01 "
ELECT MNTR ADLT ZOLL CONNT,Z7610,$160.00 ,$190.00 
NDL NERVE BLOCK 22GAX2IN,Z7610,$104.00 ,$123.50 
NDL NERVE BLOCK 21GAX4IN,Z7610,$108.00 ,$128.25 
BURR DMND COARSE 3MMX14CM,Z7610,"$1,000.96 ","$1,188.64 "
ELECT MNTR ADLT ZOLL CONNT,Z7610,$308.00 ,$365.75 
ELECT MNTR ADLT LG BACK PAD,Z7610,$200.00 ,$237.50 
NDL RELINE MAS FENSTD,Z7610,"$1,593.60 ","$1,892.40 "
KIT SAFEOP DISP EMG/NMJ,Z7610,"$8,255.52 ","$9,803.43 "
SHAFT SCREW DEPLOYMENT 40MM,Z7610,"$2,080.01 ","$2,470.01 "
SHAFT SCREW DEPLOYEMNT 45MM,Z7610,"$2,080.01 ","$2,470.01 "
KNIFE MONOPOLAR 8X7X1.8X2.8MM,Z7610,"$3,835.20 ","$4,554.30 "
FORCEP BIOPSY ALLIGATOR 2.8MM,Z7610,$95.60 ,$113.53 
LIGATOR MULTI BAND 6X122CM,Z7610,"$1,536.00 ","$1,824.00 "
SYS SET COLONIC FTRD,Z7610,"$6,096.00 ","$7,239.00 "
DRILL EVOS QC LONG 2.5MM,Z7610,$694.78 ,$825.06 
DRILL EVOS QC SHRT 2.5MM,Z7610,$600.01 ,$712.51 
BIT DRILL ADJT FULL LEN 2.3MM,Z7610,"$1,408.00 ","$1,672.00 "
NDL NERVE BLOCK 21GAX4IN,Z7610,$112.00 ,$133.00 
KIT CATH QUATTRO 9.3FR 45CM,Z7610,"$4,414.03 ","$5,241.66 "
DILATOR INITIAL BATTALION LAT,Z7610,"$1,824.00 ","$2,166.00 "
DILATOR SECRY BATTALION LAT,Z7610,"$1,824.00 ","$2,166.00 "
DILATOR TERITIARY DISP,Z7610,"$1,824.00 ","$2,166.00 "
FORCEP BIOPSY 2.8MMX230CM BLU,Z7610,$95.60 ,$113.53 
KIT PREP FAST HEMOSTATIC 5ML,Z7610,$868.42 ,"$1,031.24 "
KIT PREP FAST HEMOSTATIC 10ML,Z7610,"$1,588.80 ","$1,886.70 "
DRSG PRIMASEAL AG 3.5X4IN,Z7610,$141.28 ,$167.77 
PROBE HYBRIDAPC O.D 2.3X1.9M,Z7610,"$2,738.40 ","$3,251.85 "
CATH ENDOROTOR 3.2X1890MM,Z7610,"$6,240.00 ","$7,410.00 "
CASSETTE CTRL PURGE STRL,Z7610,"$1,280.00 ","$1,520.00 "
ANTENNA NAVIGATION LONG 30CM,Z7610,"$17,180.00 ","$20,401.25 "
DRSG OPTIFOAM GENTLE 4X6IN,Z7610,$137.44 ,$163.21 
SET NDL BONE CRVD KYPON 13GA,Z7610,"$2,940.01 ","$3,491.26 "
PROBE VITRECTOMY 27+ 10K,Z7610,"$1,598.91 ","$1,898.71 "
TIP RELINE FENESTRATED DISP,Z7610,"$2,080.01 ","$2,470.01 "
PUSHER RELINE-O FENSTD,Z7610,"$2,080.01 ","$2,470.01 "
DVC BIOP ULT 18GX10CM,Z7610,$456.00 ,$541.50 
KIT FASTNER IMPLB SEROSAFUSE,Z7610,"$18,100.01 ","$21,493.76 "
KIT SYR ORISE GEL,Z7610,"$1,088.00 ","$1,292.00 "
STYLET SNGL STEP 45MM,Z7610,"$1,872.00 ","$2,223.00 "
STYLET SNGL STEP 40MM,Z7610,"$1,872.00 ","$2,223.00 "
DRILL 2.4X5.0MM,Z7610,$928.00 ,"$1,102.00 "
DRILL 2.4X7MM,Z7610,$928.00 ,"$1,102.00 "
BLE EXCALIBUR 20MM,Z7610,"$2,080.01 ","$2,470.01 "
STYLET SNGL STEP 50MM,Z7610,"$1,872.00 ","$2,223.00 "
SYS DLVRY EVOLUTM PRO 34MM,Z7610,"$8,440.00 ","$10,022.50 "
SYS LD EVPROP34US 34MM,Z7610,"$2,184.00 ","$2,593.50 "
PROBE NANOKNIFE ELECT IRE 15CM,Z7610,"$14,000.00 ","$16,625.00 "
PROBE NANOKNIFE ELECT IRE 25CM,Z7610,"$14,000.00 ","$16,625.00 "
KIT POWERWIRE RF GDWR DISP,Z7610,"$7,200.00 ","$8,550.00 "
SYS DEL D-EVPROP2329US,Z7610,"$8,440.00 ","$10,022.50 "
SYS LD L-EVPROP2329US,Z7610,"$2,184.00 ","$2,593.50 "
INTRD SHTH 5FRX11CM,Z7610,$240.00 ,$285.00 
DVC BIOPINCE BIOP 16GAX10CM,Z7610,$600.01 ,$712.51 
DVC BIOPINCE BIOP 16GAX15CM,Z7610,$600.01 ,$712.51 
DVC BIOPINCE BIOP 18GAX20CM,Z7610,$600.01 ,$712.51 
HNDL ROTATION 17MMX235CM,Z7610,$864.00 ,"$1,026.00 "
CATH GEC TELE TELSCP 6F,Z7610,"$2,212.00 ","$2,626.75 "
CATH GEC TELE TELSCP 7FR,Z7610,"$2,212.00 ","$2,626.75 "
STAPLE CTG PREMIUM TA 30-V3,Z7610,$295.84 ,$351.31 
STPLR MF ENDO TA 30MM 2.5,Z7610,"$1,284.54 ","$1,525.40 "
SET NOMOLINE AIRWAY ADPTR,Z7610,$101.44 ,$120.46 
NDL TARGETING STIMULATING,Z7610,"$2,080.01 ","$2,470.01 "
NDL TARGETING STIMULATING,Z7610,"$2,080.01 ","$2,470.01 "
GUIDEWIRE ANG .025X450CM,Z7610,"$1,566.59 ","$1,860.33 "
GUIDEWIRE STR .025X450CM,Z7610,"$1,566.59 ","$1,860.33 "
STPLR PURSTRING 65 AUTO,Z7610,$501.60 ,$595.65 
STPLR PURSTRING 45MM DISP,Z7610,$501.60 ,$595.65 
STAPLE CTG GIA 30 2.5 ENDO,Z7610,$600.01 ,$712.51 
STPLR GIA 30 2.5,Z7610,"$1,260.10 ","$1,496.36 "
STPLR SKIN SIGNET 35W,Z7610,$83.36 ,$98.99 
STPLR SKIN PREM 35W RELOAD,Z7610,$95.36 ,$113.24 
FTR EXPIRATORY PEDI/ADULT DISP,Z7610,$116.72 ,$138.61 
TUBE ENDOBL 37FR LFT,Z7610,$392.00 ,$465.50 
CLIP APPLIER SURGICLIP 9IN,Z7610,$375.52 ,$445.93 
CLIP APPLIER SURGICLIP LG 13IN,Z7610,$375.52 ,$445.93 
CLIP APPLIER MED 9.75IN,Z7610,$430.72 ,$511.48 
CLIP APPLIER MED 11.5IN,Z7610,$430.72 ,$511.48 
INST ENDO CLOSE,Z7610,$600.01 ,$712.51 
SUT SURGIDAC DLU 2-0 48IN,Z7610,$154.08 ,$182.97 
RETRACT PADDLE ENDO12MM,Z7610,$637.50 ,$757.04 
RTRVR ENDO CATCH II 15MM,Z7610,$628.03 ,$745.79 
BAG ENDOCATCH 10MM,Z7610,$398.72 ,$473.48 
RETRACT ENDO 10MM,Z7610,$548.88 ,$651.80 
APPLIER ENDOCLIP 10MM LG,Z7610,$600.01 ,$712.51 
APPLIER ENDOCLIP III 5MM,Z7610,$993.79 ,"$1,180.13 "
SHEARS ENDO 5MM,Z7610,$450.40 ,$534.85 
APPLIER ENDOCLIP II 10MM ML,Z7610,$600.01 ,$712.51 
TUBE ET L317MM OD9.8MM ID6.5MM,Z7610,$128.00 ,$152.00 
TUBE ET EVAC SZ 7.0MM,Z7610,$128.00 ,$152.00 
TUBE ET EVAC SZ 7.5MM,Z7610,$128.00 ,$152.00 
TUBE ET EVAC SZ 8.0MM,Z7610,$128.00 ,$152.00 
SYS VISUALIZATION CLEARIFY,Z7610,$600.01 ,$712.51 
BAG SPCMN RTRVL 3X6IN,Z7610,$135.76 ,$161.22 
BAG SPCMN RTRVL 5X8IN,Z7610,$183.52 ,$217.93 
SET TUBE INFLOW STRL LF,Z7610,$992.00 ,"$1,178.00 "
SET TUBE OUTFLOW STRL LF,Z7610,$832.00 ,$988.00 
SUT MAXON CV-22 5-0 30IN GRN,Z7610,$114.16 ,$135.57 
SUT MAXON CV-11 6-0 30IN GRN,Z7610,$163.52 ,$194.18 
SUT MAXON 6-0 CV-310/CV-1 30IN,Z7610,$397.52 ,$472.06 
SUT MAXON 7-0 CV-1 24IN GRN,Z7610,$327.36 ,$388.74 
SUT MAXON 3-0 V-20 DA 36IN,Z7610,$86.00 ,$102.13 
PLEDGET PTFE POLYMER 3X7MM,Z7610,$152.40 ,$180.98 
NEB AEROGEN SOLO REPLNT,Z7610,$372.00 ,$441.75 
KIT NEB SOLO AERONBULIZER,Z7610,$600.01 ,$712.51 
WAX BONE NON-ABSORBABLE 2.5GA,Z7610,$90.88 ,$107.92 
ANTENNA INST PERCT SHRT 15CM,Z7610,"$13,180.00 ","$15,651.25 "
INST PERCT ANTENNA 20CM,Z7610,"$13,180.00 ","$15,651.25 "
SUT CHR GUT 1 BGS-28 36IN,Z7610,$154.16 ,$183.07 
STPLR DST EEA 21MM,Z7610,"$1,676.80 ","$1,991.20 "
STPLR DST EEA SNGL USE 25MM,Z7610,"$1,676.80 ","$1,991.20 "
STPLR DST EEA W/ STAPLE 25MM,Z7610,"$1,763.58 ","$2,094.26 "
STPLR DST EEA SNGL USE 28MM,Z7610,"$1,676.80 ","$1,991.20 "
STPLR DST EEA W/STAPLES 28MM,Z7610,"$1,763.58 ","$2,094.26 "
STPLR DST EEA SNGL USE 31MM,Z7610,"$1,676.80 ","$1,991.20 "
STPLR DST EEA 33MM,Z7610,"$1,676.80 ","$1,991.20 "
STPLR RELOAD MED TK EGIA 45,Z7610,"$1,038.66 ","$1,233.40 "
STPLR RELOAD X THN EGIA 45MM,Z7610,"$1,196.54 ","$1,420.90 "
STPLR RELOAD VAS MED EGIA 45,Z7610,"$1,000.38 ","$1,187.96 "
STPLR RELOAD MED TK EGIA 60,Z7610,"$1,366.59 ","$1,622.83 "
STPLR RELOAD VAS MED EGIA 60,Z7610,"$1,308.48 ","$1,553.82 "
STPLR ENDO GIA UNIV XL 12MM,Z7610,$896.06 ,"$1,064.08 "
STPLR GIA ULTRA UNIV SHRT 6CM,Z7610,$600.01 ,$712.51 
STPLR GIA ULTA UNIV 12MM,Z7610,$625.28 ,$742.52 
STPLR GIA ULTRA UNIV XL 26CM,Z7610,"$1,010.50 ","$1,199.96 "
SUT PLN GUT 6-0 HE-1 18IN,Z7610,$230.72 ,$273.98 
STPLR GIA 60-3.8 CTG RELOAD,Z7610,$345.68 ,$410.50 
STPLR GIA 60-3.8 RELOADABLE,Z7610,$600.01 ,$712.51 
STPLR GIA 60-4.8 CTG RELOAD,Z7610,$340.64 ,$404.51 
STPLR GIA 60-4.8 RELOADABLE,Z7610,$600.01 ,$712.51 
STPLR GIA 80-3.8 CTG RELOAD,Z7610,$505.36 ,$600.12 
STPLR GIA 80-3.8 RELOADABLE,Z7610,$775.42 ,$920.82 
STPLR GIA 80-4.8 CTG RELOAD,Z7610,$505.36 ,$600.12 
STPLR GIA 80-4.8 RELOADABLE,Z7610,$775.42 ,$920.82 
INST LIGASURE LAP BLUNT 23CM,Z7610,"$2,527.00 ","$3,000.81 "
TIP LIGASURE BLUNT 37CM,Z7610,"$2,527.00 ","$3,000.81 "
INST LIGASURE LAP BLUNT 44CM,Z7610,"$2,686.60 ","$3,190.34 "
INST LIGASURE MARYLAND 23CM,Z7610,"$2,779.73 ","$3,300.93 "
INST LIGASURE MARYLAND 37CM,Z7610,"$2,779.73 ","$3,300.93 "
INST LIGASURE MARYLAND 44CM,Z7610,"$2,940.01 ","$3,491.26 "
ADHV SKIN TOPICAL LIQUIBAND,Z7610,$188.56 ,$223.92 
TRCR MINI STEP 2/3 X 70MM,Z7610,$685.82 ,$814.42 
TRCR MINI STEP 5 X 70MM,Z7610,$708.99 ,$841.93 
TRCR BLELESS STD LT 5MM,Z7610,$643.84 ,$764.56 
NDL INSUFFLATION 14GA,Z7610,$376.96 ,$447.64 
NDL INSFLTN 14GA SHRT,Z7610,$465.04 ,$552.24 
SUT CHR GUT 0 SGL1  21IN,Z7610,$147.04 ,$174.61 
CTG STPLR TAN 30MM VAS MED,Z7610,$875.39 ,"$1,039.53 "
CTG STPLR TAN 30MM VAS MED,Z7610,"$1,058.50 ","$1,256.96 "
CTG STPLR BLK 45MM XTHICK,Z7610,"$1,220.22 ","$1,449.02 "
CTG STPLR TAN 45MM VAS MED,Z7610,"$1,209.60 ","$1,436.40 "
CTG STPLR BLK 60MM XTHICK,Z7610,"$1,719.10 ","$2,041.44 "
CTG STPLR TAN 60MM VAS MED,Z7610,"$1,701.18 ","$2,020.16 "
STPLR CTG RNFRC XTK BLK 60MM,Z7610,"$2,356.14 ","$2,797.92 "
ADHV SWIFTSET  TOPICAL 0.8M,Z7610,$106.72 ,$126.73 
STPLR RELOADABLE TA 30X3.5MM,Z7610,$264.96 ,$314.64 
STPLR TA 30-3.5,Z7610,$600.01 ,$712.51 
STPLR RELOAD TA 30X4.8,Z7610,$264.96 ,$314.64 
STPLR TA 30-4.8,Z7610,$600.01 ,$712.51 
STPLR RELOAD TA 30-V3,Z7610,$295.84 ,$351.31 
STPLR TA VAS 30MM,Z7610,$600.01 ,$712.51 
STPLR TA 45X3.5 RELOAD,Z7610,$367.84 ,$436.81 
STPLR TA 45-3.5,Z7610,$710.21 ,$843.37 
STPLR RELOAD TA 45-4.85,Z7610,$367.84 ,$436.81 
STPLR TA 45-4.8MM,Z7610,$710.21 ,$843.37 
STPLR RELOAD TA 60-3.5,Z7610,$297.92 ,$353.78 
STPLR TA 60-3.5,Z7610,$600.01 ,$712.51 
STPLR RELOAD TA 60-4.8,Z7610,$297.92 ,$353.78 
STPLR TA 60-4.8,Z7610,$600.01 ,$712.51 
STPLR RELOAD TA 90-4.8,Z7610,$314.56 ,$373.54 
STPLR TA 90-4.8,Z7610,$600.01 ,$712.51 
SUT V-LOC 3-0 P-12 18IN,Z7610,$281.28 ,$334.02 
SUT V-LOC 2-0 GS-21 12IN,Z7610,$408.40 ,$484.98 
SUT V-LOC 180 0 GS-21 12IN GRN,Z7610,$408.40 ,$484.98 
SUT V-LOC 0 GS-21 18IN GRN,Z7610,$457.52 ,$543.31 
SUT V-LOC 0 GS-21 9IN,Z7610,$242.80 ,$288.33 
SUT V-LOC 3-0 V-20 6IN,Z7610,$316.40 ,$375.73 
SUT V-LOC 2-0 V-20 12IN,Z7610,$352.80 ,$418.95 
SUT V-LOC 3-0 P-14 12IN,Z7610,$327.84 ,$389.31 
SUT V-LOC 180 2-0 GS-21 6IN,Z7610,$242.80 ,$288.33 
SUT V-LOC 90 2-0 GS-21 9IN,Z7610,$314.40 ,$373.35 
SUT V-LOC 90 3-0 V-20 6IN,Z7610,$322.16 ,$382.57 
NDL INSFLTN 14GA,Z7610,$273.60 ,$324.90 
TRCR VERSASTEP SHRT 12MM,Z7610,$753.73 ,$895.05 
TRCR VERSASTEP 5MM,Z7610,$631.94 ,$750.42 
TRCR VERSASTEP 12MM,Z7610,$753.73 ,$895.05 
DVC ENDOSTITCH SUT 10MM,Z7610,$600.01 ,$712.51 
SPNG PEANUT LAP ENDO 5MM,Z7610,$150.32 ,$178.51 
FTR EXHALATION DX800,Z7610,$86.88 ,$103.17 
SHTH 12FR TIP ANG 45 DEG,Z7610,"$4,416.00 ","$5,244.00 "
SHTH 9FR TIP ANG 45 DEG,Z7610,"$4,416.00 ","$5,244.00 "
SHTH 8FR TIP ANG 45 DEG,Z7610,"$4,416.00 ","$5,244.00 "
INST BX L25CM OD18GA MARQUEE,Z7610,$392.00 ,$465.50 
PROBE SAFEOP STIMULATING STRL,Z7610,"$3,120.00 ","$3,705.00 "
CLIP SAFEOP STIMULATING STRL,Z7610,"$2,080.01 ","$2,470.01 "
KIT CATH INTVASC HEAT 9.3FR,Z7610,"$4,359.74 ","$5,177.20 "
TUNN TOOL 50 CM,Z7610,$896.00 ,"$1,064.00 "
DVC OVERTB PATHFINDER E DISP,Z7610,"$2,940.01 ","$3,491.26 "
CATH DLVRY 2 MRK ZEPHYR 5.5,Z7610,"$2,800.00 ","$3,325.00 "
SET TBNG AIR TRAP CHMBR 6FT,Z7610,"$1,337.60 ","$1,588.40 "
SUT DYNACORD MULTIPAK W/O NDL,Z7610,"$1,120.00 ","$1,330.00 "
PUMP HRT IMPELLA 5.5,Z7610,"$56,000.00 ","$66,500.00 "
KIT SAFEOP INSTD DILATOR STRL,Z7610,"$4,104.00 ","$4,873.50 "
STYLET SURGL NAVIGATION VIPER,Z7610,"$2,240.00 ","$2,660.00 "
NDL INTRD BEVEL 10GA 5IN,Z7610,$608.00 ,$722.00 
TUBG ASPRT RIPTIDE,Z7610,"$1,868.80 ","$2,219.20 "
CNSTR SUC 1200ML W/ INTMED,Z7610,"$1,868.80 ","$2,219.20 "
SUT OVERSTICH 2-0 PLYPRO,Z7610,$484.00 ,$574.75 
IMP FUN STD,Z7610,$600.01 ,$712.51 
FORCEP MAX BX DISP SPYBITE,Z7610,"$3,216.00 ","$3,819.00 "
ROD TI 3.5X40MM CRVD VIRAGE,Z7610,$800.00 ,$950.00 
SYS VACUUM STAB MALLEABLE,Z7610,"$6,701.76 ","$7,958.34 "
FORCEP BIOPTOME 6FR X 50CM,Z7610,"$1,392.00 ","$1,653.00 "
RTR TAP SURGL BUR 3MM WHT,Z7610,$716.80 ,$851.20 
FORCEP ENDO MINI 1.2MMX130CM,Z7610,"$3,216.00 ","$3,819.00 "
NDL FN DEVICE BIOP 25GA DISP,Z7610,"$2,380.00 ","$2,826.25 "
NDL FN DEVICE BIOP 22GA DISP,Z7610,"$2,380.00 ","$2,826.25 "
SYS BASE CAMP SHTH,Z7610,"$2,940.01 ","$3,491.26 "
APPLC ENDO SURGICEL,Z7610,$202.32 ,$240.26 
NDL RELINE-O FENSTD,Z7610,"$1,593.60 ","$1,892.40 "
TUBE CRYODECOMPRESSION 16FR,Z7610,"$1,536.00 ","$1,824.00 "
CANN CO2 NASAL LH ADLT 4M W/O2,Z7610,$164.48 ,$195.32 
APPLC GASLESS LAP 40CM,Z7610,$691.20 ,$820.80 
TIP GASLESS OPEN,Z7610,$480.00 ,$570.00 
APPLC GASLESS LAP 25CM,Z7610,$652.80 ,$775.20 
VLV FLO50 LG BORE 400 PSI,Z7610,$88.00 ,$104.50 
SYS 088 ACCS 110CM,Z7610,"$14,000.00 ","$16,625.00 "
