Charge Number,Procedure Name,Procedure Code (CPT/HCPCS),Default Modifier,Gross Charge,Discounted Cash Charge ,Hospital Inpatient / Outpatient / Both
PSBC318000,"PSBC ONLY PREPARATION OF RED BLOOD CELLS, WASHED",86999,, $320.00 , $185.60 ,Both
PSBC305600,PSBC ONLY PROCESSING FEE,86999,, $25.00 , $14.50 ,Both
PSBC323002,PSBC ONLY PROTEIN C ACTIVITY,85303,, $103.00 , $59.74 ,Both
PSBC323003,PSBC ONLY PROTEIN S ACTIVITY,85306,, $103.00 , $59.74 ,Both
PSBC320004,PSBC ONLY PROTHROMBIN TIME,85610,, $42.00 , $24.36 ,Both
PSBC314700,PSBC ONLY RARE UNIT SEARCH FEE,86999,, $258.00 , $149.64 ,Both
PSBC240000,PSBC ONLY RED BLOOD CELLS,P9021,, $180.50 , $104.69 ,Both
PSBC252000,PSBC ONLY RED BLOOD CELLS - LEUKOREDUCED,P9016,, $233.00 , $135.14 ,Both
PSBC264000,PSBC ONLY RED BLOOD CELLS FRZN/DEGLYCEROLIZED WASHED LEUKOREDUCED IRR,P9057,, $798.00 , $462.84 ,Both
PSBC250000,"PSBC ONLY RED BLOOD CELLS, IRRADIATED",P9038,, $194.50 , $112.81 ,Both
PSBC256000,"PSBC ONLY RED BLOOD CELLS, IRRADIATED, LR",P9040,, $263.00 , $152.54 ,Both
PSBC254000,"PSBC ONLY RED BLOOD CELLS, LEUKOREDUCED, CMV NEGATIVE",P9051,, $303.00 , $175.74 ,Both
PSBC258000,"PSBC ONLY RED BLOOD CELLS, LEUKOREDUCED, CMV NEGATIVE, IRRADIATED",P9058,, $333.00 , $193.14 ,Both
PSBC252100,"PSBC ONLY RED BLOOD CELLS, LEUKOREDUCED, FROZEN",86999,, $293.00 , $169.94 ,Both
PSBC262000,"PSBC ONLY RED BLOOD CELLS, LEUKOREDUCED, FROZEN, DEGLYCEROL, WASHED",P9054,, $768.00 , $445.44 ,Both
PSBC261000,"PSBC ONLY RED BLOOD CELLS, LEUKOREDUCED, IRRADIATED, WASHED",,, $551.00 , $319.58 ,Both
PSBC260000,"PSBC ONLY RED BLOOD CELLS, WASHED",P9022,, $459.50 , $266.51 ,Both
PSBC260100,"PSBC ONLY RED BLOOD CELLS, WASHED, LEUKOREDUCED",86999,, $521.00 , $302.18 ,Both
PSBC312600,PSBC ONLY RED CELL ANTIBODY PANEL (PER PANEL),86870,, $95.00 , $55.10 ,Both
PSBC311701,PSBC ONLY RED CELL GENOTYPING FOR SINGLE ANTIGEN (PER ANTIGEN SYSTEM),,, $234.00 , $135.72 ,Both
PSBC314300,PSBC ONLY RED CELL PHENOTYPE/PER NEGATIVE ANTIGEN,86902,, $85.00 , $49.30 ,Both
PSBC313100,PSBC ONLY RED CELL SEPARATION FOR PHENOTYPING,86972,, $210.00 , $121.80 ,Both
PSBC311703,PSBC ONLY RED CELL TYPING FOR MNS SYSTEM,,, $412.00 , $238.96 ,Both
PSBC320011,PSBC ONLY REPTILASE TIME,85635,, $97.50 , $56.55 ,Both
PSBC248500,PSBC ONLY RESUSPENDED RED BLOOD CELLS,,, $333.00 , $193.14 ,Both
PSBC303501,PSBC ONLY RETROSPECTIVE CROSSMATCH ELECTRONIC - NEW,86923,, $24.00 , $13.92 ,Both
PSBC301501,PSBC ONLY RETROSPECTIVE XMATCH ANTIGLOBULIN - NEW,86922,, $130.00 , $75.40 ,Both
PSBC311702,"PSBC ONLY RH GENOTYPING - MULTIPLEX (C,D)",,, $530.00 , $307.40 ,Both
PSBC311700,"PSBC ONLY RH PHENOTYPE (D,C,E,C ANTIGEN TYPING (E IF INDICATED)",86906,, $135.00 , $78.30 ,Both
PSBC311707,PSBC ONLY RHD EVALUATION (WEAK OR PARTIAL D EVAL),81406,, $625.00 , $362.50 ,Both
PSBC311705,PSBC ONLY RHD ZYGOSITY INCLUDES CDE SYSTEMS,,, $550.00 , $319.00 ,Both
PSBC324004,PSBC ONLY RIPA (RISTOCETIN-INDUCED PLATELET AGGREGATION,85576,, $210.00 , $121.80 ,Both
PSBC321003,PSBC ONLY RISTOCETIN COFACTOR (VWF ACTIVITY),85245,, $110.00 , $63.80 ,Both
PSBC311900,PSBC ONLY SCREENING OF ANTIGEN-NEGATIVE UNITS (PER ANTIGEN/PER UNIT),86902,, $69.00 , $40.02 ,Both
PSBC312000,PSBC ONLY SCREENING OF COMPATIBLE RBC UNITS (PER UNIT),86904,, $41.25 , $23.93 ,Both
PSBC306700,PSBC ONLY SEROLOGIC TEST FOR SYPHILIS (STS),86592,, $28.00 , $16.24 ,Both
PSBC308501,PSBC ONLY SPECIMEN PROCESSING/STORAGE (CELLS),86999,, $70.00 , $40.60 ,Both
PSBC308500,PSBC ONLY SPECIMEN PROCESSING/STORAGE (SERUM),86999,, $35.00 , $20.30 ,Both
PSBC322006,PSBC ONLY STACLOT-LA (HEXAGONAL PL),85597,, $105.00 , $60.90 ,Both
PSBC305901,PSBC ONLY STAT FEE - HEMOSTASIS,86999,, $100.00 , $58.00 ,Both
PSBC354310,"PSBC ONLY STEM CELL, COLLECTION",86999,," $2,590.00 "," $1,502.20 ",Both
PSBC354302,"PSBC ONLY STEM CELL, COLLECTION (MOBILE)",86999,," $4,300.00 "," $2,494.00 ",Both
PSBC354301,"PSBC ONLY STEM CELL, COLLECTION/ PROCESSING/STORAGE",86999,," $2,300.00 "," $1,334.00 ",Both
PSBC183000,PSBC ONLY THAWED PLASMA,P9017,, $89.00 , $51.62 ,Both
PSBC319600,"PSBC ONLY THAWING OF PLASMA, FFP 250CC, FFP 50 CC, CRYO DEPLETED",86927,, $20.00 , $11.60 ,Both
PSBC354100,PSBC ONLY THERAPEUTIC LEUKAPHERESIS,36511,," $1,181.00 ", $684.98 ,Both
PSBC354200,PSBC ONLY THERAPEUTIC LEUKAPHERESIS (MOBILE),36511,," $4,400.00 "," $2,552.00 ",Both
PSBC357000,PSBC ONLY THERAPEUTIC PHLEBOTOMY,99195,, $48.00 , $27.84 ,Both
PSBC351000,PSBC ONLY THERAPEUTIC PLASMA EXCHANGE,36514,," $1,960.00 "," $1,136.80 ",Both
PSBC351500,PSBC ONLY THERAPEUTIC PLASMA EXCHANGE (MOBILE),36514,," $2,760.00 "," $1,600.80 ",Both
PSBC351501,PSBC ONLY THERAPEUTIC PLASMA EXCHANGE (N/E),86999,," $1,630.00 ", $945.40 ,Both
PSBC352800,PSBC ONLY THERAPEUTIC PLATELETPHERESIS,36513,, $675.00 , $391.50 ,Both
PSBC352900,PSBC ONLY THERAPEUTIC PLATELETPHERESIS (MOBILE),36513,," $4,200.00 "," $2,436.00 ",Both
PSBC353500,PSBC ONLY THERAPEUTIC RED CELL EXCHANGE,36512,," $1,360.00 ", $788.80 ,Both
PSBC353601,PSBC ONLY THERAPEUTIC RED CELL EXCHANGE (MOBILE),35612,," $1,520.00 ", $881.60 ,Both
PSBC353600,PSBC ONLY THERAPEUTIC RED CELL EXCHANGE (N/E),35612,," $4,200.00 "," $2,436.00 ",Both
PSBC314000,PSBC ONLY THERMAL AMPLITUDE,86940,, $310.00 , $179.80 ,Both
PSBC320003,PSBC ONLY TISSUE THROMBOPLASTIN INHIBITION TIME (TTIT),85705,, $51.50 , $29.87 ,Both
PSBC307818,PSBC ONLY TOXOPLASMA-IGG,86999,, $150.00 , $87.00 ,Both
PSBC354800,PSBC ONLY TRAVEL (PROCEDURES OUTSIDE KING COUNTY),86999,, $400.00 , $232.00 ,Both
PSBC305800,PSBC ONLY UNCROSSMATCHED HANDLING FEE,86999,, $28.00 , $16.24 ,Both
PSBC308310,PSBC ONLY UNIT HLA ANTIBODY SCREEN,86808,, $24.00 , $13.92 ,Both
PSBC321024,PSBC ONLY VWF MULTIMER,85247,, $175.00 , $101.50 ,Both
PSBC200000,PSBC ONLY WHOLE BLOOD,P9010,, $251.00 , $145.58 ,Both
PSBC203000,"PSBC ONLY WHOLE BLOOD, LEUKOREDUCED, CMV NEGATIVE",P9051,, $286.00 , $165.88 ,Both
PSBC202000,"PSBC ONLY WHOLE BLOOD, LEUKOREDUCED, IRRADIATED",P9056,, $265.00 , $153.70 ,Both
90791,PSYCHIATRIC DIAGNOSTIC EVAL W/O MEDICAL SERVICES,90791,, $248.00 , $143.84 ,Both
90792,PSYCHIATRIC DIAGNOSTIC EVALUATION W/MEDICAL SERVICES,90792,, $593.00 , $343.94 ,Both
90785,PSYCHIATRIC INTERACTIVE COMPLEXITY,90785,, $30.00 , $17.40 ,Both
90832,PSYCHOTHERAPY 30 MIN PATIENT,90832,, $118.00 , $68.44 ,Both
90833,PSYCHOTHERAPY 30 MIN PATIENT WITH MEDICAL SVCS,90833,, $270.00 , $156.60 ,Both
90834,PSYCHOTHERAPY 45 MIN PATIENT,90834,, $156.00 , $90.48 ,Both
90836,PSYCHOTHERAPY 45 MIN PATIENT WITH MEDICAL SVCS,90836,, $342.00 , $198.36 ,Both
90837,PSYCHOTHERAPY 60 MIN PATIENT,90837,, $236.00 , $136.88 ,Both
90838,PSYCHOTHERAPY 60 MIN PATIENT WITH MEDICAL SVCS,90838,, $328.00 , $190.24 ,Both
90840,"PSYCHOTHERAPY FOR CRISIS,EACH ADDITIONAL 30 MINUTES",90840,, $116.00 , $67.28 ,Both
90839,"PSYCHOTHERAPY FOR CRISIS,FIRST 60 MINUTES",90839,, $242.00 , $140.36 ,Both
I97116,"PT GAIT TRAINING, FAC FEE",97116,, $65.00 , $37.70 ,Both
81323,PTEN GENE ANALYSIS DUPLICATION/DELETION VARIANT,81323,, $646.00 , $374.68 ,Both
81321,PTEN GENE ANALYSIS FULL SEQUENCE ANALYSIS,81321,," $1,291.00 ", $748.78 ,Both
81322,PTEN GENE ANALYSIS KNOWN FAMILIAL VARIANT,81322,, $100.00 , $58.00 ,Both
94618,"PULM STRESS TEST, INCL HEART RATE,OXIMETRY,OXYGEN TRITATION,WHEN PERF",94618,TC, $38.00 , $22.04 ,Both
J7626250,PULMICRD RESP BUDESONIDE .5MG/2ML FAC FEE,J7626,, $12.70 , $7.37 ,Both
78580,PULMONARY PERFUSION IMAGING PARTICIPATOR,78580,TC, $820.00 , $475.60 ,Both
78582,PULMONARY VENTILATION & PERFUSION IMAGING,78582,TC," $1,150.00 ", $667.00 ,Both
78579,PULMONARY VENTILATION IMAGING,78579,TC, $669.00 , $388.02 ,Both
87152,PULSE FIELD GEL TYPING CULTURE,87152,, $23.00 , $13.34 ,Both
E0445FTR,PULSE OXIMETER- FAILURE TO RETURN,E0445,," $1,000.00 ", $580.00 ,Both
M010054837,"PUNCH, CORNEAL, DONOR, 7.75MM, MARKING, BARRON",,, $146.25 , $84.83 ,Both
M0214211,"PUNCH, CORNEAL, DONOR, 8.0MM, MARKING, BARRON",,, $140.00 , $81.20 ,Both
PC105232,"PUNCH, CORNEAL, DONOR, 8.5MM, MARKING BARRON ( 9218385)",,, $140.00 , $81.20 ,Both
PC105544,"PUNCH, CORNEAL, DONOR, 9.0MM, MARKING, BARRON (21-8390)",,, $146.25 , $84.83 ,Both
10160450,"PUNCTURE DRAIN LESION, ER FEE",10160,, $545.00 , $316.10 ,Both
PC103898,"PUTTY, BONE, DBM, 5CC, GRAFTON (T43105)",C9359,," $1,283.80 ", $744.60 ,Both
M010060574,"PUTTY, BONE, DBX, 10CC, FREEZE DRIED (038100)",C1762,," $1,108.83 ", $643.12 ,Both
84207,PYRIDOXAL PHOSPHATE (VITAMIN B-6),84207,, $84.00 , $48.72 ,Both
J3415636,PYRIDOXINE PER 100MG,J3415,, $21.78 , $12.63 ,Both
84210,PYRUVATE,84210,, $43.00 , $24.94 ,Both
84220,PYRUVATE KINASE,84220,, $28.00 , $16.24 ,Both
78598,QUANT DIFF PULM PRFUSION & VENTLAJ W/WO IMAGING,78598,TC," $1,077.00 ", $624.66 ,Both
78597,QUANT DIFFERENTIAL PULM PERFUSION W/WO IMAGING,78597,TC, $677.00 , $392.66 ,Both
80194,QUINIDINE TEST,80194,, $44.00 , $25.52 ,Both
84228,QUININE,84228,, $35.00 , $20.30 ,Both
J2770636,QUINUPRISTIN / DALFOPRISTIN 500 MG INJ FAC,J2770,, $635.99 , $368.87 ,Both
93453,R & L HRT CATH W/NJX L VENTRICULOG IMG S&I,93453,TC," $3,569.00 "," $2,070.02 ",Both
93460,R & L HRT CATH WINJX HRT ART& L VENTR IMG S&I,93460,TC," $3,799.00 "," $2,203.42 ",Both
93461,R&L HRT CATH W/INJEC HRT ART/GRFT&L VENT IMG S&I,93461,TC," $4,274.00 "," $2,478.92 ",Both
70120,RAD EXAM MASTOIDS LESS THAN 3 VIEWS,70120,TC, $110.00 , $63.80 ,Both
76098,RAD EXAM SURG SPECIMEN,76098,TC, $108.00 , $62.64 ,Both
74270,"RAD EXAM, COLON, INCL SCOUT ABD RADIOGRPH, WHEN PERF; SINGLE CONTRAST STUDY",74270,52, $301.00 , $174.58 ,Both
74270,"RAD EXAM, COLON, INCL SCOUT ABD RADIOGRPH, WHEN PERF; SINGLE CONTRAST STUDY",74270,TC, $410.00 , $237.80 ,Both
74280,"RAD EXAM, COLON, INCL SCOUT ABD RADIOGRPH,DBL CONTRAST,INCL GLUCAGON,WHEN ADM",74280,TC, $638.00 , $370.04 ,Both
74022,"RAD EXAM, COMPL ACUTE ABDOMEN SERIES, INCL 2 OR >VIEWS ABD & SINGLE VIEW CHEST",74022,TC, $130.00 , $75.40 ,Both
74220,"RAD EXAM, ESOPHAGUS INCL SCOUT CHEST RADIOGRAPH, SINGLE-CONTRAST STUDY",74220,TC, $266.00 , $154.28 ,Both
74221,"RAD EXAM, ESOPHAGUS, INCL SCOUT CHEST RADIOGRAPH(S) AND DELAYED IMAGE(S), WHEN PERFORMED; DOUBLE-CONTRAST",74221,TC, $296.00 , $171.68 ,Both
74210,"RAD EXAM, PHARYNX/CERVICAL ESOPH INCL SCOUT NECK, CONTRAST STUDY",74210,TC, $260.00 , $150.80 ,Both
74250,"RAD EXAM, SMALL INTESTINE, INCL MLTPLE SERIAL IMAG, SINGLE-CONTRAST STUDY",74250,TC, $322.00 , $186.76 ,Both
74230,"RAD EXAM, SWALLOW FUNCT, W/CINE&VIDEORADIOGRAPHY, WHEN PERF,CONTRAST STUDY",74230,TC, $413.00 , $239.54 ,Both
74246,"RAD EXAM, UPPER GI TRACT, DBL CONTRAST STUDY, INCL GLUCAGON, WHEN ADM",74246,TC, $375.00 , $217.50 ,Both
74240,"RAD EXAM, UPPER GI TRACT, INCL SCOUT ABD RADIOGRAPH, SINGLE CONTRAST STUDY",74240,TC, $320.00 , $185.60 ,Both
75989,RAD GUIDANCE FOR PERCUTANEOUS DRAINAGE,75989,TC, $253.00 , $146.74 ,Both
G6013,"RAD TREATMENT DELIVERY,3 OR MORE SEAPARATE  TX AREAS; 11-19 MEV",G6013,," $1,043.00 ", $604.94 ,Both
G6012,"RAD TREATMENT DELIVERY,3 OR MORE SEAPARATE  TX AREAS; 6-10MEV",G6012,," $1,041.00 ", $603.78 ,Both
G6011,"RAD TREATMENT DELIVERY,3 OR MORE SEAPARATE  TX AREAS; UP TO 5  MEV",G6011,," $1,056.00 ", $612.48 ,Both
G6008,"RAD TX 2 SEPARATE TX AREAS, 3 OR MORE PORTS  SINGLE TX AREA,6-10 5MEV",G6008,, $785.00 , $455.30 ,Both
G6007,"RAD TX 2 SEPARATE TX AREAS, 3 OR MORE PORTS  SINGLE TX AREA,UP TO 5MEV",G6007,," $1,069.00 ", $620.02 ,Both
G6009,"RAD TX 2 SEPARATE TX AREAS, 3 OR MORE PORTS  SINGLE TX AREA11-19 MEV",G6009,, $780.00 , $452.40 ,Both
G6010,"RAD TX 2 SEPARATE TX AREAS, 3 OR MORE PRTS  SINGLE TX AREA 20 MEV OR >",G6010,, $780.00 , $452.40 ,Both
I77402,"RAD TX DELIVERY 5MEV, SIMPLE",77402,, $569.00 , $330.02 ,Both
I77412,"RAD TX DELIVERY CUSTOM BLOCK 5 MEV, COMPLEX",77412,," $1,046.00 ", $606.68 ,Both
I77407,"RAD TX DELIVERY SIMPLE BLOCKS 5 MEV, INTERMEDIATE",77407,, $781.00 , $452.98 ,Both
G6014,"RAD TX DELIVERY,3 OR MORE SEPARATE TREATMENT AREAS,; 20MEV OR GREATER",G6014,," $1,043.00 ", $604.94 ,Both
G6005,"RAD TX, SINGLE TX AREA,SINGLE PORT/ PARALLEL OPPOSED PORTS, 11-19 MEV",G6005,, $569.00 , $330.02 ,Both
G6006,"RAD TX, SINGLE TX AREA,SINGLE PORT/ PARALLEL OPPOSED PORTS, 20MEV OR >",G6006,, $569.00 , $330.02 ,Both
G6004,"RAD TX, SINGLE TX AREA,SINGLE PORT/ PARALLEL OPPOSED PORTS, 6-10 MEV",G6004,, $569.00 , $330.02 ,Both
G6003,"RAD TX, SINGLE TX AREA,SINGLE PORT/ PARALLEL OPPOSED PORTS, UP TO 5MEV",G6003,, $752.00 , $436.16 ,Both
71130,RADEX STRNCLAV JT/JTS MINIMUM 3 VIEWS,71130,52, $78.00 , $45.24 ,Both
71130,RADEX STRNCLAV JT/JTS MINIMUM 3 VIEWS,71130,TC, $114.00 , $66.12 ,Both
77372,RADIATION DLVR STRTCTC CEREBRAL LINEAR,77372,," $4,234.00 "," $2,455.72 ",Both
77401,"RADIATION TREATMENT DELIVERY, SUPERFICIAL &/OR ORT",77401,TC, $98.00 , $56.84 ,Both
77763,"RADIOELEMENT APPLICATION, COMPLEX",77763,TC," $1,195.00 ", $693.10 ,Both
77762,"RADIOELEMENT APPLICATION, INTERMEDIATE",77762,TC, $926.00 , $537.08 ,Both
77790,"RADIOELEMENT, SUPERVISION, HANDLING",77790,TC, $24.00 , $13.92 ,Both
77761,"RADIOLELEMENI APPLICATION, SIMPLE",77761,TC, $808.00 , $468.64 ,Both
73610,RADIOLOGIC EXAM ANKLE COMPLETE MIN 3VIEW,73610,52, $69.00 , $40.02 ,Both
73610,RADIOLOGIC EXAM ANKLE COMPLETE MIN 3VIEW,73610,TC, $104.00 , $60.32 ,Both
74018,"RADIOLOGIC EXAM, ABDOMEN; 1 VIEW",74018,TC, $80.00 , $46.40 ,Both
I74018,"RADIOLOGIC EXAM, ABDOMEN; 1 VIEW",74018,, $80.00 , $46.40 ,Both
I74019,"RADIOLOGIC EXAM, ABDOMEN; 2 VIEWS",74019,, $97.00 , $56.26 ,Both
74019,"RADIOLOGIC EXAM, ABDOMEN; 2 VIEWS",74019,TC, $97.00 , $56.26 ,Both
74021,"RADIOLOGIC EXAM, ABDOMEN; 3 OR MORE VIEWS",74021,TC, $113.00 , $65.54 ,Both
I74021,"RADIOLOGIC EXAM, ABDOMEN; 3 OR MORE VIEWS",74021,, $113.00 , $65.54 ,Both
I71046,"RADIOLOGIC EXAM, CHEST; 2 VIEWS",71046,, $87.00 , $50.46 ,Both
71046,"RADIOLOGIC EXAM, CHEST; 2 VIEWS",71046,TC, $87.00 , $50.46 ,Both
71047,"RADIOLOGIC EXAM, CHEST; 3 VIEWS",71047,TC, $110.00 , $63.80 ,Both
I71047,"RADIOLOGIC EXAM, CHEST; 3 VIEWS",71047,, $110.00 , $63.80 ,Both
I71048,"RADIOLOGIC EXAM, CHEST; 4 OR MORE VIEWS",71048,, $114.00 , $66.12 ,Both
71048,"RADIOLOGIC EXAM, CHEST; 4 OR MORE VIEWS",71048,TC, $114.00 , $66.12 ,Both
71045,"RADIOLOGIC EXAM, CHEST; SINGLE VIEW",71045,TC, $65.00 , $37.70 ,Both
I71045,"RADIOLOGIC EXAM, CHEST; SINGLE VIEW",71045,, $65.00 , $37.70 ,Both
73552,"RADIOLOGIC EXAM, FEMUR; MINIMUM 2 VIEWS",73552,TC, $101.00 , $58.58 ,Both
73501,"RADIOLOGIC EXAM, HIP, UNILATERAL, W PELVIS WHEN PERFORMED; 1 VIEW",73501,TC, $88.00 , $51.04 ,Both
73521,"RADIOLOGIC EXAM, HIPS, BILATERAL, W PELVIS WHEN PERFORMED; 2 VIEWS",73521,TC, $114.00 , $66.12 ,Both
73522,"RADIOLOGIC EXAM, HIPS, BILATERAL, W PELVIS WHEN PERFORMED; 3-4 VIEWS",73522,TC, $148.00 , $85.84 ,Both
73523,"RADIOLOGIC EXAM, HIPS, BILATERAL, W PELVIS WHEN PERFORMED; MINIMUM 5 VIEWS",73523,TC, $173.00 , $100.34 ,Both
7352152,"RADIOLOGIC EXAM, HIPS, BILATERAL, W PELVIS WHEN PERFORMED; REDUCED",73521,, $78.00 , $45.24 ,Both
73050,RADIOLOGIC EXAMINATION ACROMIOCLAVICULAR,73050,52, $61.00 , $35.38 ,Both
73050,RADIOLOGIC EXAMINATION ACROMIOCLAVICULAR,73050,TC, $87.00 , $50.46 ,Both
73000,RADIOLOGIC EXAMINATION CLAVICLE,73000,TC, $91.00 , $52.78 ,Both
70150,RADIOLOGIC EXAMINATION FACIAL BONES 3V,70150,TC, $130.00 , $75.40 ,Both
73060,"RADIOLOGIC EXAMINATION HUMERUS, MIN",73060,52, $61.00 , $35.38 ,Both
73060,"RADIOLOGIC EXAMINATION HUMERUS, MIN",73060,TC, $91.00 , $52.78 ,Both
70134,RADIOLOGIC EXAMINATION INTERNAL AUDITORY,70134,TC, $156.00 , $90.48 ,Both
73660,"RADIOLOGIC EXAMINATION OF TOES, MIN 2VS",73660,52, $55.00 , $31.90 ,Both
73660,"RADIOLOGIC EXAMINATION OF TOES, MIN 2VS",73660,TC, $85.00 , $49.30 ,Both
70190,RADIOLOGIC EXAMINATION OPTIC FORAMING,70190,TC, $108.00 , $62.64 ,Both
70200,"RADIOLOGIC EXAMINATION ORBITS, COMPLETE",70200,52, $91.00 , $52.78 ,Both
70200,"RADIOLOGIC EXAMINATION ORBITS, COMPLETE",70200,TC, $130.00 , $75.40 ,Both
77075,RADIOLOGIC EXAMINATION OSSEOUS SURVEY CO,77075,TC, $270.00 , $156.60 ,Both
77074,RADIOLOGIC EXAMINATION OSSEOUS SURVEY LI,77074,TC, $164.00 , $95.12 ,Both
72190,"RADIOLOGIC EXAMINATION PELVIS, COMPLETE",72190,TC, $111.00 , $64.38 ,Both
I71110,RADIOLOGIC EXAMINATION RIBS BILTRL,71110,, $113.00 , $65.54 ,Both
73590,RADIOLOGIC EXAMINATION TIBIA AND FIBULA,73590,52, $60.00 , $34.80 ,Both
73590,RADIOLOGIC EXAMINATION TIBIA AND FIBULA,73590,TC, $90.00 , $52.20 ,Both
73600,"RADIOLOGIC EXAMINATION, ANKLE ANTEROPOST",73600,52, $62.00 , $35.96 ,Both
73600,"RADIOLOGIC EXAMINATION, ANKLE ANTEROPOST",73600,TC, $93.00 , $53.94 ,Both
73615,"RADIOLOGIC EXAMINATION, ANKLE, ARTHROGRH",73615,TC, $397.00 , $230.26 ,Both
73650,"RADIOLOGIC EXAMINATION, CALCANEUS, MIN",73650,52, $55.00 , $31.90 ,Both
73650,"RADIOLOGIC EXAMINATION, CALCANEUS, MIN",73650,TC, $80.00 , $46.40 ,Both
73070,"RADIOLOGIC EXAMINATION, ELBOW",73070,52, $56.00 , $32.48 ,Both
73070,"RADIOLOGIC EXAMINATION, ELBOW",73070,TC, $80.00 , $46.40 ,Both
73085,"RADIOLOGIC EXAMINATION, ELBOW, ARTHROGRY",73085,TC, $336.00 , $194.88 ,Both
I7422052,"RADIOLOGIC EXAMINATION, ESOPHAGUS",74220,52, $133.00 , $77.14 ,Both
73551,"RADIOLOGIC EXAMINATION, FEMUR; 1 VIEW",73551,TC, $83.00 , $48.14 ,Both
73140,"RADIOLOGIC EXAMINATION, FINGER(S) 2 VWS",73140,52, $70.00 , $40.60 ,Both
73140,"RADIOLOGIC EXAMINATION, FINGER(S) 2 VWS",73140,TC, $114.00 , $66.12 ,Both
73630,"RADIOLOGIC EXAMINATION, FOOT COMPLETE",73630,TC, $97.00 , $56.26 ,Both
73620,"RADIOLOGIC EXAMINATION, FOOT,",73620,52, $54.00 , $31.32 ,Both
73620,"RADIOLOGIC EXAMINATION, FOOT,",73620,TC, $80.00 , $46.40 ,Both
73090,"RADIOLOGIC EXAMINATION, FOREARM ANT",73090,52, $56.00 , $32.48 ,Both
73090,"RADIOLOGIC EXAMINATION, FOREARM ANT",73090,TC, $81.00 , $46.98 ,Both
73130,"RADIOLOGIC EXAMINATION, HAND, 3V OR >",73130,52, $69.00 , $40.02 ,Both
73130,"RADIOLOGIC EXAMINATION, HAND, 3V OR >",73130,TC, $104.00 , $60.32 ,Both
73120,"RADIOLOGIC EXAMINATION, HAND, TWO VIEWS",73120,52, $59.00 , $34.22 ,Both
73120,"RADIOLOGIC EXAMINATION, HAND, TWO VIEWS",73120,TC, $87.00 , $50.46 ,Both
73525,"RADIOLOGIC EXAMINATION, HIP, ARTHROGRAPH",73525,TC, $376.00 , $218.08 ,Both
73092,"RADIOLOGIC EXAMINATION, INFANT",73092,TC, $88.00 , $51.04 ,Both
73565,"RADIOLOGIC EXAMINATION, KNEE",73565,TC, $120.00 , $69.60 ,Both
73580,"RADIOLOGIC EXAMINATION, KNEE, ARTHOGRAPH",73580,TC, $432.00 , $250.56 ,Both
73592,"RADIOLOGIC EXAMINATION, LOWER EXTREMITY",73592,52, $59.00 , $34.22 ,Both
73592,"RADIOLOGIC EXAMINATION, LOWER EXTREMITY",73592,TC, $88.00 , $51.04 ,Both
70110,"RADIOLOGIC EXAMINATION, MANDIBLE, >=4V",70110,TC, $118.00 , $68.44 ,Both
70100,"RADIOLOGIC EXAMINATION, MANDIBLE, PRTL",70100,TC, $110.00 , $63.80 ,Both
70130,"RADIOLOGIC EXAMINATION, MASTOIDS 3V",70130,TC, $170.00 , $98.60 ,Both
70160,"RADIOLOGIC EXAMINATION, NASAL BONES COMP",70160,52, $71.00 , $41.18 ,Both
70160,"RADIOLOGIC EXAMINATION, NASAL BONES COMP",70160,TC, $110.00 , $63.80 ,Both
77076,"RADIOLOGIC EXAMINATION, OSSEOUS SURVEY, INFANT",77076,TC, $273.00 , $158.34 ,Both
72170,"RADIOLOGIC EXAMINATION, PELVIS ANTERO",72170,52, $56.00 , $32.48 ,Both
72170,"RADIOLOGIC EXAMINATION, PELVIS ANTERO",72170,TC, $78.00 , $45.24 ,Both
71110,"RADIOLOGIC EXAMINATION, RIBS, BILATERAL",71110,TC, $113.00 , $65.54 ,Both
I7111052,"RADIOLOGIC EXAMINATION, RIBS, BILATERAL",71110,52, $57.00 , $33.06 ,Both
71101,"RADIOLOGIC EXAMINATION, RIBS, UNILATERAL",71101,52, $80.00 , $46.40 ,Both
71101,"RADIOLOGIC EXAMINATION, RIBS, UNILATERAL",71101,TC, $110.00 , $63.80 ,Both
72202,"RADIOLOGIC EXAMINATION, SACRAOILIAC JOIN",72202,TC, $106.00 , $61.48 ,Both
72200,"RADIOLOGIC EXAMINATION, SACROILIAC JOINT",72200,TC, $93.00 , $53.94 ,Both
72220,"RADIOLOGIC EXAMINATION, SACRUM AND COCCY",72220,52, $61.00 , $35.38 ,Both
72220,"RADIOLOGIC EXAMINATION, SACRUM AND COCCY",72220,TC, $90.00 , $52.20 ,Both
73010,"RADIOLOGIC EXAMINATION, SCAPULA, COMPLT",73010,TC, $74.00 , $42.92 ,Both
73030,"RADIOLOGIC EXAMINATION, SHOULDER COMPLT",73030,52, $65.00 , $37.70 ,Both
73030,"RADIOLOGIC EXAMINATION, SHOULDER COMPLT",73030,TC, $94.00 , $54.52 ,Both
73020,"RADIOLOGIC EXAMINATION, SHOULDER, 1V",73020,TC, $54.00 , $31.32 ,Both
76100,"RADIOLOGIC EXAMINATION, SINGLE PLN BDY",76100,TC, $267.00 , $154.86 ,Both
70210,"RADIOLOGIC EXAMINATION, SINUSES, PARANSL",70210,TC, $88.00 , $51.04 ,Both
